EmbryoID	EmbryoStage
GSM896803	Oocyte
GSM896804	Oocyte
GSM896805	Oocyte
GSM896806	Zygote
GSM896807	Zygote
GSM896808	Zygote
GSM896809	2-cell_embryo
GSM896810	2-cell_embryo
GSM896811	2-cell_embryo
GSM896812	2-cell_embryo
GSM896813	2-cell_embryo
GSM896814	2-cell_embryo
GSM922146	4-cell_embryo
GSM922147	4-cell_embryo
GSM922148	4-cell_embryo
GSM922149	4-cell_embryo
GSM922150	4-cell_embryo
GSM922151	4-cell_embryo
GSM922152	4-cell_embryo
GSM922153	4-cell_embryo
GSM922154	4-cell_embryo
GSM922155	4-cell_embryo
GSM922156	4-cell_embryo
GSM922157	4-cell_embryo
GSM922158	8-cell_embryo
GSM922159	8-cell_embryo
GSM922160	8-cell_embryo
GSM922161	8-cell_embryo
GSM922162	8-cell_embryo
GSM922163	8-cell_embryo
GSM922164	8-cell_embryo
GSM922165	8-cell_embryo
GSM922166	8-cell_embryo
GSM922167	8-cell_embryo
GSM922168	8-cell_embryo
GSM922169	8-cell_embryo
GSM922170	8-cell_embryo
GSM922171	8-cell_embryo
GSM922172	8-cell_embryo
GSM922173	8-cell_embryo
GSM922174	8-cell_embryo
GSM922175	8-cell_embryo
GSM922176	8-cell_embryo
GSM922177	8-cell_embryo
GSM922178	Morulae
GSM922179	Morulae
GSM922180	Morulae
GSM922181	Morulae
GSM922182	Morulae
GSM922183	Morulae
GSM922184	Morulae
GSM922185	Morulae
GSM922186	Morulae
GSM922187	Morulae
GSM922188	Morulae
GSM922189	Morulae
GSM922190	Morulae
GSM922191	Morulae
GSM922192	Morulae
GSM922193	Morulae
GSM922194	Late_blastocyst
GSM922195	Late_blastocyst
GSM922196	Late_blastocyst
GSM922197	Late_blastocyst
GSM922198	Late_blastocyst
GSM922199	Late_blastocyst
GSM922200	Late_blastocyst
GSM922201	Late_blastocyst
GSM922202	Late_blastocyst
GSM922203	Late_blastocyst
GSM922204	Late_blastocyst
GSM922205	Late_blastocyst
GSM922206	Late_blastocyst
GSM922207	Late_blastocyst
GSM922208	Late_blastocyst
GSM922209	Late_blastocyst
GSM922210	Late_blastocyst
GSM922211	Late_blastocyst
GSM922212	Late_blastocyst
GSM922213	Late_blastocyst
GSM922214	Late_blastocyst
GSM922215	Late_blastocyst
GSM922216	Late_blastocyst
GSM922217	Late_blastocyst
GSM922218	Late_blastocyst
GSM922219	Late_blastocyst
GSM922220	Late_blastocyst
GSM922221	Late_blastocyst
GSM922222	Late_blastocyst
GSM922223	Late_blastocyst
